828, 852, 896, 685|0.12704187631607056, -0.12219581753015518, 0.017972301691770554|0.42129889130592346, -0.5592889189720154, -1.3284238576889038
828, 849, 897, 685|0.0, 0.0, 0.017999853938817978|-0.0015764544950798154, -0.0023627562914043665, 0.0013245424488559365
828, 849, 897, 685|5.781136133009568e-05, 3.119859320577234e-05, 0.018014343455433846|0.0020611651707440615, -0.05353553593158722, 0.002841036766767502
828, 849, 897, 687|-0.00017620982544030994, 0.00010847226076293737, 0.016966549679636955|0.017449092119932175, 0.019481243565678596, 0.003317367983981967
826, 849, 897, 687|-0.0002541838912293315, 0.00024263461818918586, 0.016922688111662865|0.0240726750344038, -0.040745846927165985, 0.0038892996963113546
826, 849, 897, 687|-0.0003955314459744841, 0.00036368847941048443, 0.016494885087013245|0.054056063294410706, -0.0577944777905941, 0.004098623525351286
826, 849, 897, 687|-0.0007789912633597851, 0.0005191104719415307, 0.016234727576375008|0.0819062888622284, -0.02578614093363285, 0.0035755597054958344
826, 849, 896, 687|-0.0008699963800609112, 0.0005885062273591757, 0.01611465774476528|0.13534462451934814, -0.11353826522827148, 0.004832002334296703
826, 850, 896, 687|-0.0005949052283540368, 0.0005315103917382658, 0.015977879986166954|0.2092752903699875, -0.24151290953159332, 0.0039130086079239845
826, 850, 896, 687|-0.0016404988709837198, 0.0006406015600077808, 0.016667375341057777|0.2287590056657791, -0.09534482657909393, 0.001455040997825563
827, 850, 896, 691|-0.0011994608212262392, 0.0007419096655212343, 0.01665567234158516|0.24765779078006744, -0.2495824098587036, 0.0021433145739138126
827, 851, 895, 691|0.0003824608284048736, 0.0008053829078562558, 0.017686452716588974|0.270628422498703, -0.5298867225646973, -0.0007297443808056414
827, 851, 895, 691|-0.0007013193680904806, 0.0006293795304372907, 0.017867617309093475|0.31803497672080994, -0.4033834934234619, 0.001354467822238803
827, 851, 895, 686|-0.0005869505694136024, 0.0005408288561739028, 0.01714947819709778|0.34165558218955994, -0.4371474087238312, 0.0034537380561232567
826, 851, 896, 686|0.00012685621913988143, -0.0001514865580247715, 0.017162537202239037|0.4213547110557556, -0.5283650755882263, 0.0069355228915810585
826, 851, 896, 686|-0.0005067889578640461, 0.0004806813085451722, 0.017578721046447754|0.36239707469940186, -0.47346532344818115, 0.007038893178105354
826, 851, 896, 686|-0.0005020485259592533, 0.000478827569168061, 0.017359714955091476|0.3694162964820862, -0.4835614562034607, 0.007159797009080648
823, 851, 896, 689|-0.0001145307905972004, 0.00041763795888982713, 0.017356524243950844|0.38157081604003906, -0.5272650718688965, 0.008932188153266907
823, 850, 896, 689|-0.00041301120654679835, 0.000411451852414757, 0.018582435324788094|0.3841070830821991, -0.5093761682510376, 0.009979238733649254
823, 850, 896, 689|-0.0010584683623164892, 0.00040556411840952933, 0.017649926245212555|0.3876532018184662, -0.4742458760738373, 0.009987416677176952
827, 850, 896, 687|-0.0007913403678685427, 0.0004515624023042619, 0.01764598675072193|0.38941487669944763, -0.5081475973129272, 0.010629815049469471
827, 850, 896, 687|0.0005948396865278482, 0.00039347485289908946, 0.01692437194287777|0.3972598612308502, -0.598436176776886, 0.012199238874018192
827, 850, 896, 687|-0.0007354346453212202, 0.0003878757415805012, 0.016792260110378265|0.40107282996177673, -0.5167834758758545, 0.01395866833627224
827, 850, 896, 686|-0.0011456910287961364, 0.0004185516154393554, 0.016756484284996986|0.40256786346435547, -0.5007697343826294, 0.014343523420393467
826, 849, 895, 686|-0.001048584352247417, 3.310360625619069e-05, 0.016622748225927353|0.4227628707885742, -0.5092123746871948, 0.017341649159789085
826, 849, 895, 686|-1.234514365933137e-05, 0.00033399119274690747, 0.017624393105506897|0.40546905994415283, -0.5676742196083069, 0.018804805353283882
826, 849, 895, 686|9.272590091313759e-07, 0.0003160712367389351, 0.01735914684832096|0.40473228693008423, -0.5683118104934692, 0.019137073308229446
825, 849, 895, 689|3.0202723792172037e-05, 0.00029243447352200747, 0.017298810184001923|0.4053490459918976, -0.5759865045547485, 0.02259281650185585
825, 850, 895, 689|-0.00021779577946290374, 0.00026189483469352126, 0.018032502382993698|0.4108215272426605, -0.5673279166221619, 0.025607861578464508
825, 850, 895, 689|0.00031450638198293746, 0.0002486984012648463, 0.018438562750816345|0.41051027178764343, -0.5957434773445129, 0.021810822188854218
826, 850, 895, 687|-0.00047396658919751644, 0.0002510792401153594, 0.01851796545088291|0.4137413799762726, -0.5589214563369751, 0.01972472295165062
826, 851, 894, 687|0.0005634950939565897, -0.0002757704060059041, 0.018324976786971092|0.4369661509990692, -0.6051312685012817, 0.01875327154994011
826, 851, 894, 687|-0.00019916842575185, 0.00022668948804493994, 0.01835617423057556|0.4116241931915283, -0.5725647211074829, 0.019126782193779945
826, 851, 894, 688|4.0291473851539195e-05, 0.00023725385835859925, 0.017317773774266243|0.41459837555885315, -0.585290253162384, 0.018250353634357452
825, 850, 894, 688|0.00034611672163009644, 0.0002783411182463169, 0.017166774719953537|0.41299423575401306, -0.5917642116546631, 0.018063198775053024
825, 850, 894, 688|-0.0010793376713991165, 0.00028464870410971344, 0.017430037260055542|0.41388460993766785, -0.5280771255493164, 0.020670168101787567
825, 850, 894, 688|5.7830791774904355e-05, 0.00026667225756682456, 0.017168700695037842|0.4136711657047272, -0.5800163745880127, 0.019189272075891495
827, 850, 895, 686|-0.000490719685330987, 0.0002767389523796737, 0.017019571736454964|0.41383346915245056, -0.5567938685417175, 0.02207881025969982
827, 850, 895, 686|-0.00021785781427752227, 0.00025444410857744515, 0.016898006200790405|0.41461098194122314, -0.5642222166061401, 0.02352738380432129
827, 850, 895, 686|5.447784496936947e-05, 0.00023299768508877605, 0.016830341890454292|0.4147786796092987, -0.5792494416236877, 0.025263352319598198
825, 850, 895, 688|-0.00020854984177276492, 0.00024293885508086532, 0.01666329614818096|0.4143106937408447, -0.5652725100517273, 0.024705087766051292
825, 853, 893, 688|0.0006579211913049221, 0.0002762863296084106, 0.01756458543241024|0.41010594367980957, -0.6031668782234192, 0.02770255319774151
825, 853, 893, 688|-0.0010148967849090695, 0.0002601828600745648, 0.017543567344546318|0.40963414311408997, -0.5371755957603455, 0.030493594706058502
825, 853, 893, 688|-0.00047726993216201663, 0.0002670394314918667, 0.01684180460870266|0.4087909460067749, -0.5601004362106323, 0.03237306326627731
827, 850, 896, 688|-0.00019986335246358067, 0.0003056272107642144, 0.01670832373201847|0.4082097113132477, -0.5679704546928406, 0.03301535174250603
827, 850, 896, 688|0.00010036117600975558, 0.00026593662914820015, 0.016731075942516327|0.410990446805954, -0.5790427327156067, 0.03245218098163605
827, 850, 896, 688|-0.00017882529937196523, 0.0002484972064848989, 0.016330907121300697|0.41296151280403137, -0.5683488845825195, 0.034771185368299484
826, 850, 894, 688|8.81351443240419e-05, 0.0002403541875537485, 0.016173265874385834|0.4123830497264862, -0.5781831741333008, 0.03456540033221245
826, 851, 894, 688|-0.000148903694935143, 0.00021816365187987685, 0.017371147871017456|0.410359263420105, -0.5700408816337585, 0.037403907626867294
826, 851, 894, 688|-0.00016521620273124427, 0.0002360396320000291, 0.01644345372915268|0.41123318672180176, -0.5748817324638367, 0.03932780399918556
826, 851, 894, 684|-0.000665302446577698, 0.00022614416957367212, 0.0163168553262949|0.41211146116256714, -0.5532245635986328, 0.03922812268137932
826, 849, 893, 684|0.00032218240085057914, -0.0002635956334415823, 0.01653357408940792|0.4324752688407898, -0.5925977826118469, 0.03905835375189781
826, 849, 893, 684|-0.0006240922375582159, 0.00021081100567243993, 0.016445700079202652|0.4114243984222412, -0.550923764705658, 0.03810304030776024
826, 849, 893, 688|-0.00039486715104430914, 0.0001982913672691211, 0.016170043498277664|0.41274818778038025, -0.5610685348510742, 0.0402691625058651
827, 849, 896, 688|0.0003121868066955358, 0.00021042744629085064, 0.016035668551921844|0.4127308428287506, -0.5889363288879395, 0.040038906037807465
827, 849, 896, 688|-0.0006339785177260637, 0.0002205978089477867, 0.016848303377628326|0.41397321224212646, -0.5497913956642151, 0.041538041085004807
827, 849, 896, 688|-0.00014702387852594256, 0.00023814132146071643, 0.016894394531846046|0.4149138927459717, -0.5688302516937256, 0.04086953029036522
824, 849, 890, 688|0.0001283106830669567, 0.00028690503677353263, 0.016866467893123627|0.41489696502685547, -0.5802815556526184, 0.04082241281867027
824, 848, 890, 688|-0.00013664996367879212, 0.0002940633858088404, 0.01690489612519741|0.41467970609664917, -0.5729276537895203, 0.04252331331372261
824, 848, 890, 688|-0.00012400437844917178, 0.0003037999849766493, 0.016925493255257607|0.41428446769714355, -0.5733345150947571, 0.04632251709699631
822, 848, 890, 684|0.00048139403224922717, 0.00033777503995224833, 0.016895681619644165|0.41272398829460144, -0.597403883934021, 0.04888111352920532
822, 847, 892, 684|-0.00012445588072296232, 0.000334188953274861, 0.017355136573314667|0.4127245247364044, -0.5735381245613098, 0.04998952895402908
822, 847, 892, 684|-0.0010272524086758494, 0.00033474949304945767, 0.017394889146089554|0.41090744733810425, -0.5430376529693604, 0.05268717557191849
822, 847, 892, 685|0.0002037478843703866, 0.0003344962024129927, 0.017695756629109383|0.4102970361709595, -0.5905585885047913, 0.05601654574275017
828, 851, 892, 685|-0.0006623321678489447, 0.0003060340532101691, 0.017767438665032387|0.41040894389152527, -0.5547839999198914, 0.05845692381262779
828, 851, 892, 685|-0.0004140632227063179, 0.0003533272538334131, 0.016009235754609108|0.4076872766017914, -0.5661729574203491, 0.05581773817539215
828, 851, 892, 685|0.000228073462494649, 0.00034831950324587524, 0.01711679995059967|0.40747934579849243, -0.5891605615615845, 0.05510464683175087
826, 851, 894, 687|-0.0003960724570788443, 0.00035312739782966673, 0.017093665897846222|0.4054175317287445, -0.566524088382721, 0.055147573351860046
826, 854, 894, 687|-0.000656301446724683, 0.0003178493643645197, 0.017930468544363976|0.4071206748485565, -0.5595017075538635, 0.05458589270710945
826, 854, 894, 687|0.0002098548284266144, 0.00029647035989910364, 0.01800069957971573|0.40702661871910095, -0.5928246974945068, 0.05465840920805931
824, 854, 894, 686|-5.60824410058558e-05, 0.00034159462666139007, 0.018059024587273598|0.4054737985134125, -0.5807926058769226, 0.055929217487573624
824, 851, 892, 686|0.000547537230886519, 0.00034644469269551337, 0.017632482573390007|0.40517714619636536, -0.6005536913871765, 0.05882672220468521
824, 851, 892, 686|0.00024802982807159424, 0.0003454872639849782, 0.01760132983326912|0.4060220420360565, -0.5920836925506592, 0.06552496552467346
824, 851, 892, 687|-0.00012052623060299084, 0.00032396422466263175, 0.017740916460752487|0.40567755699157715, -0.56246018409729, 0.07291677594184875
826, 850, 892, 687|-0.00017075698997359723, 0.0003867569612339139, 0.017700396478176117|0.40409210324287415, -0.5603640675544739, 0.06862261891365051
826, 850, 892, 687|0.000338639656547457, 0.0003607839171309024, 0.016336800530552864|0.4073021113872528, -0.5630983710289001, 0.07092117518186569
826, 850, 892, 687|-0.0007352007087320089, -0.002130362670868635, 0.016837429255247116|0.4917612671852112, -0.5120881199836731, 0.11150015890598297
826, 850, 893, 683|-0.0003513810515869409, -0.003588203340768814, 0.016643758863210678|0.5264869332313538, -0.5235239863395691, -0.05984187871217728
826, 847, 893, 683|-0.0002673158887773752, -0.006315925158560276, 0.01068237703293562|0.6165799498558044, -0.497123658657074, -0.21322068572044373
826, 847, 893, 683|-3.4904899166576797e-06, -0.00816259253770113, 0.008541455492377281|0.6517448425292969, -0.47666287422180176, 0.03603619709610939
827, 847, 893, 687|-0.0007679419359192252, -0.009076560847461224, 0.007218988612294197|0.6081715226173401, -0.4095430374145508, 0.5991552472114563
827, 851, 895, 687|0.001338656642474234, -0.011316042393445969, 0.0050223697908222675|0.6702414751052856, -0.4455208480358124, 1.120229721069336
827, 851, 895, 687|0.0011026959400624037, -0.012011340819299221, 0.003590016858652234|0.6360006928443909, -0.43648743629455566, 1.5394725799560547
827, 851, 895, 687|0.0034056464210152626, -0.01447428110986948, 0.00460052490234375|0.5622333288192749, -0.37437158823013306, 1.7602427005767822
826, 853, 897, 687|0.007286909501999617, -0.015203315764665604, 0.003496995195746422|0.6730267405509949, -0.18406258523464203, 2.076378345489502
826, 853, 897, 687|0.009104834869503975, -0.01847388967871666, 0.00919329933822155|0.3975207805633545, -0.3547801375389099, 2.4220707416534424
826, 853, 897, 687|0.011859786696732044, -0.0221337229013443, 0.01444427389651537|0.048668090254068375, 0.09960004687309265, 2.5783472061157227
825, 853, 894, 689|0.015027424320578575, -0.022817321121692657, 0.015161864459514618|0.2736424505710602, 0.5073372721672058, 2.7011351585388184
825, 860, 894, 689|0.019057076424360275, -0.024969138205051422, 0.014561540447175503|0.06269974261522293, 0.9741104245185852, 2.7844836711883545
